Category,Rating,Confidence,Numbers
Mexican,3.7304239401496266,38.82543640897756,401
Thai,3.9180952380952387,56.628571428571426,105
Indian,4.187671232876713,26.753424657534246,73
Chinese,3.4374999999999982,36.895,200
Japanese,4.0404296875000005,38.671875,512
Vietnamese,3.5148514851485166,42.20792079207921,101
Italian,3.7759375000000026,34.159375,320
French,4.1594533029612775,41.69020501138952,439
American (Traditional),3.706386418755048,42.59579628132579,1237
Greek,3.9892857142857148,31.357142857142858,28
Mediterranean,3.987654320987655,32.49382716049383,81
